C/P:,Collection,IsInterface?,Methods,Useless,Box,CompoundBox,Sampler,Canopy,Immutable,Implementor,PseudoClass,Pool,ControlledCreation,Overrider,Sink,Stateless,CommonState,Outline,FunctionPointer,FunctionObject,Joiner,Designator,Record,Taxonomy,PureType,AugmentedType,Extender,DataManager,Trait,CobolLike,StateMachine,Recursive
javax.swing.AbstractAction,rt,N,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java.util.prefs.NodeChangeListener,rt,Yes,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
com.sun.xml.internal.messaging.saaj.util.ParseUtil,rt,N,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
java.beans.java_util_Collections$CheckedRandomAccessList_PersistenceDelegate,rt,N,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
com.sun.xml.internal.ws.api.streaming.XMLStreamReaderFactory$Woodstox,rt,N,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sun.print.BackgroundLookupListener,rt,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
com.sun.org.apache.bcel.internal.generic.CALOAD,rt,N,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
com.sun.org.apache.xpath.internal.objects.XNodeSetForDOM,rt,N,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.sun.imageio.plugins.jpeg.DHTMarkerSegment$Htable,rt,N,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.sun.java.util.jar.pack.Package$1,rt,N,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sun.net.www.http.KeepAliveCache$1,rt,N,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
javax.swing.CellRendererPane$AccessibleCellRendererPane,rt,N,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java.net.ProxySelector,rt,N,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
javax.sound.sampled.UnsupportedAudioFileException,rt,N,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
java.nio.channels.FileChannel$MapMode,rt,N,3,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
org.omg.CosNaming.NamingContextPackage.InvalidNameHolder,rt,N,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.sun.org.apache.xml.internal.security.c14n.implementations.Canonicalizer20010315OmitComments,rt,N,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sun.java2d.opengl.OGLRenderer,rt,N,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sun.io.ByteToCharISO8859_4,rt,N,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
com.sun.org.apache.xalan.internal.xsltc.cmdline.SecuritySupport,rt,N,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sun.io.ByteToCharISO8859_2,rt,N,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
com.sun.org.apache.xalan.internal.xsltc.compiler.util.Type,rt,N,35,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
sun.io.ByteToCharISO8859_1,rt,N,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
com.sun.corba.se.impl.encoding.CodeSetConversion$JavaBTCConverter,rt,N,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.sun.xml.internal.bind.v2.model.impl.ClassInfoImpl,rt,N,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
com.sun.org.apache.xpath.internal.functions.FuncCurrent,rt,N,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
com.sun.org.apache.xerces.internal.jaxp.validation.AbstractXMLSchema,rt,N,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
